,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
550,당수동어린이집,596.51,경기도 수원시 권선구 당진로22번길 46,경기도 수원시 권선구 당수동 227,37.2908192981,126.9431409576
551,견인보관소,506.25,,경기도 수원시 권선구 대황교동 253,37.2371568344,127.0186205328
552,교통약자이동지원센터,817,,경기도 수원시 권선구 대황교동 253,37.2371568344,127.0186205328
553,서둔119안전센터,347.84,경기도 수원시 권선구 서호동로 48,경기도 수원시 권선구 서둔동 17-77,37.2689519067,126.99337945
554,서둔동 동대본부,162.54,경기도 수원시 권선구 서호로 146,경기도 수원시 권선구 서둔동 207-13,37.2725980742,126.9860686227
555,서호공원 화장실,48.18,경기도 수원시 권선구 수인로 154,경기도 수원시 권선구 서둔동 225-34,37.2761558296,126.9813069295
556,수원시 더함파크,7518.62,,경기도 수원시 권선구 서둔동 251-3,37.2754050991,126.9832858167
557,후생관,1570.96,,경기도 수원시 권선구 서둔동 251-6,37.2743509833,126.9838160133
558,여기산화장실,51.08,,경기도 수원시 권선구 서둔동 260-5,,
559,여기산경로당,186.04,경기도 수원시 권선구 여기산로16번길 17,경기도 수원시 권선구 서둔동 260-66,37.2789335674,126.97958456
560,수원역 환승센터,35163,경기도 수원시 권선구 세화로 118,경기도 수원시 권선구 서둔동 296-3,37.2628789407,126.9960591384
561,여기산(동)화장실,132.52,경기도 수원시 권선구 수성로 88,경기도 수원시 권선구 서둔동 365,37.2833491176,126.9834122072
562,역세권1지구 공영주차장,2422.79,,경기도 수원시 권선구 서둔동 393,37.2611517936,126.9904478624
563,수원중소유통도매물류센타,1145,경기도 수원시 권선구 세화로 222,경기도 수원시 권선구 서둔동 9-3,37.2723783425,126.9957589649
564,문화경로당,116.48,경기도 수원시 권선구 세지로12번길 45,경기도 수원시 권선구 세류동 1106,37.2526555044,127.017304103
565,세리경로당,130.5,경기도 수원시 권선구 경수대로235번길 68-4,경기도 수원시 권선구 세류동 1135,37.2496687567,127.0143350577
566,신곡경로당,162.06,경기도 수원시 권선구 경수대로191번길 14-4,경기도 수원시 권선구 세류동 1155-2,37.2445584615,127.0166905199
567,수원시음식물자원화시설-하수등 처리시설,1938.72,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 557 외 2필지,37.2348788548,126.9870237463
568,음식물사료화시설_건물(조립식판넬)포함_후숙시설,1759.15,경기도 수원시 권선구 매송고색로804번길 432,경기도 수원시 권선구 고색동 694-2,37.2348788548,126.9870237463
569,도로교통관리사업소청사 신관,1560,경기도 수원시 권선구 서부로 1600,경기도 수원시 권선구 고색동 886-70,37.252382664,126.9764294759
570,바람개비화장실,75.47,,경기도 수원시 권선구 고색동 904-4,37.2472089422,126.9700385252
571,솔대공중화장실,145.44,경기도 수원시 권선구 오목천로152번길 29,경기도 수원시 권선구 고색동 917,37.2437104073,126.9782821898
572,델타플렉스1단지 배수펌프장,457.9,경기도 수원시 권선구 오목천로 96,경기도 수원시 권선구 고색동 980,37.2410554998,126.9731254751
573,수원시자원회수시설 공장동,14252.98,경기도 수원시 영통구 영통로 383,경기도 수원시 영통구 영통동 962-3,37.2585654463,127.0677994429
574,수원시자원회수시설 세차동,164.8,경기도 수원시 영통구 영통로 383,경기도 수원시 영통구 영통동 962-3,37.2585654463,127.0677994429
575,수원시자원회수시설 주경비동,35.69,경기도 수원시 영통구 영통로 383,경기도 수원시 영통구 영통동 962-3,37.2585654463,127.0677994429
576,수원시자원회수시설 옥외화장실,17.01,경기도 수원시 영통구 영통로 383,경기도 수원시 영통구 영통동 962-3,37.2585654463,127.0677994429
577,수원시자원회수시설 내 동아리실,81.12,경기도 수원시 영통구 영통로 399,경기도 수원시 영통구 영통동 962-5,37.2573939167,127.0703547423
578,벽적골공원 화장실,40.14,경기도 수원시 영통구 덕영대로1555번길 60,경기도 수원시 영통구 영통동 969-2,37.2486734317,127.0618910939
579,영통2동 행정복지센터,1715.99,경기도 수원시 영통구 영통로217번길 12,경기도 수원시 영통구 영통동 977-3,37.2469580587,127.0563196729
580,교통공원내관리사무소및교육동,586.05,경기도 수원시 영통구 덕영대로 1570,경기도 수원시 영통구 영통동 981-4,37.2454045935,127.062766935
