,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
546,현암초등학교,초등학교,경기도 용인시 수지구 죽전동 1229,경기도 용인시 수지구 대지로 146,37.32881299,127.1247628
547,잠원초등학교,초등학교,경기도 수원시 영통구 망포동 687,경기도 수원시 영통구 태장로54번길 11,37.23872914,127.0525213
548,반송고등학교,고등학교,경기도 화성시 반송동 213,경기도 화성시 동탄반석로 21,37.19276804,127.0777778
549,손곡초등학교,초등학교,경기도 용인시 수지구 동천동 867,경기도 용인시 수지구 손곡로 68,37.33686539,127.0950036
550,여울초등학교,초등학교,경기도 화성시 오산동 987,경기도 화성시 동탄감배산로 95,37.19510443,127.088947
551,석성초등학교,초등학교,경기도 용인시 기흥구 중동 955,경기도 용인시 기흥구 동백2로 53,37.2703565,127.1580707
552,화서초등학교,초등학교,경기도 수원시 팔달구 화서동 104-2,경기도 수원시 팔달구 팔달로127번길 54-11,37.28119982,127.0005411
553,성지초등학교,초등학교,경기도 용인시 기흥구 구갈동 575,경기도 용인시 기흥구 강남서로 38,37.27496793,127.1286049
554,언동중학교,중학교,경기도 용인시 기흥구 언남동 132-5,경기도 용인시 기흥구 언남로 41,37.29442085,127.1302984
555,제일초등학교,초등학교,경기도 용인시 처인구 양지면 제일리 488-1,경기도 용인시 처인구 양지면 중부대로2517번길 42-7,37.24280483,127.3135289
